编号,ID,姓,性别,投资金额,投资日期,投资时间,
25698,yl***hu,储,女士,103.08,2015-03-28,14:04,
25698,qh***23,李,女士,305.00,2015-03-28,14:04,
25698,ch***ng,陈,女士,17000.00,2015-03-28,14:05,
25698,ch***gy,李,先生,305.00,2015-03-28,14:05,
25698,li***11,李,女士,27372.20,2015-03-28,14:05,
25698,wn***13,王,先生,100.00,2015-03-28,14:06,
25698,12***ws,吴,女士,125.63,2015-03-28,14:07,
25698,13***68,李,先生,200.45,2015-03-28,14:08,
25698,ya***ia,杨,女士,100.00,2015-03-28,14:08,
25698,zs***16,张,先生,500.00,2015-03-28,14:09,
25698,zs***16,张,先生,100.00,2015-03-28,14:10,
25698,32***10,李,女士,200.00,2015-03-28,14:10,
25698,xi***xu,许,女士,200.00,2015-03-28,14:11,
25698,ba***ng,包,女士,134.90,2015-03-28,14:11,
25698,Cy***jm,骆,女士,500.00,2015-03-28,14:12,
25698,xi***18,刘,女士,2185.70,2015-03-28,14:14,
25698,cj***16,崔,女士,101.09,2015-03-28,14:15,
25698,de***10,孙,女士,1000.00,2015-03-28,14:16,
25698,bl***32,曹,先生,500.00,2015-03-28,14:17,
25698,li***62,李,先生,500.00,2015-03-28,14:17,
25698,ic***23,霍,先生,500.00,2015-03-28,14:18,
25698,18***71,郑,先生,200.00,2015-03-28,14:19,
25698,de***15,邓,女士,310.01,2015-03-28,14:19,
25698,15***86,李,先生,1000.00,2015-03-28,14:20,
25698,bl***32,曹,先生,200.00,2015-03-28,14:21,
25698,we***ve,闻,先生,100.00,2015-03-28,14:22,
25698,ni***ng,倪,女士,500.00,2015-03-28,14:23,
25698,bl***dx,唐,女士,100.00,2015-03-28,14:23,
