编号,ID,姓,性别,投资金额,投资日期,投资时间,
22314,he***ry,王,先生,100.00,2015-04-14,22:01,
22314,qu***yo,何,女士,3001.40,2015-04-14,22:02,
22314,zh***ui,张,女士,200.00,2015-04-14,22:02,
22314,zh***ui,张,女士,200.00,2015-04-14,22:02,
22314,al***xt,张,先生,100.00,2015-04-14,22:02,
22314,yu***18,于,先生,100.00,2015-04-14,22:02,
22314,al***xt,张,先生,100.00,2015-04-14,22:02,
22314,zh***ui,张,女士,200.00,2015-04-14,22:02,
22314,gu***zz,赵,先生,100.00,2015-04-14,22:02,
22314,ti***yr,金,女士,100.00,2015-04-14,22:02,
22314,al***xt,张,先生,100.00,2015-04-14,22:02,
22314,al***xt,张,先生,100.00,2015-04-14,22:02,
22314,mi***ke,金,女士,100.00,2015-04-14,22:02,
22314,zh***ui,张,女士,200.00,2015-04-14,22:02,
22314,al***xt,张,先生,100.00,2015-04-14,22:02,
22314,al***xt,张,先生,100.00,2015-04-14,22:02,
22314,ya***un,杨,先生,100.00,2015-04-14,22:02,
22314,wh***04,王,女士,2003.00,2015-04-14,22:02,
22314,sj***28,史,女士,1000.00,2015-04-14,22:02,
22314,ti***yr,金,女士,100.00,2015-04-14,22:03,
22314,al***xt,张,先生,100.00,2015-04-14,22:03,
22314,ja***an,钱,女士,1003.00,2015-04-14,22:03,
22314,ya***un,杨,先生,100.00,2015-04-14,22:03,
22314,da***ng,单,女士,100.00,2015-04-14,22:03,
22314,al***xt,张,先生,100.00,2015-04-14,22:03,
22314,ji***44,金,女士,300.00,2015-04-14,22:03,
22314,ti***yr,金,女士,100.00,2015-04-14,22:03,
22314,al***xt,张,先生,100.00,2015-04-14,22:03,
