编号,ID,姓,性别,投资金额,投资日期,投资时间,
23636,l5***23,李,先生,100.00,2015-04-23,19:23,
23636,sh***70,孙,先生,100.00,2015-04-23,19:23,
23636,qu***68,王,女士,100.00,2015-04-23,19:23,
23636,lh***23,凌,先生,520.09,2015-04-23,19:23,
23636,ji***02,丁,女士,100.00,2015-04-23,19:23,
23636,18***63,崔,先生,100.00,2015-04-23,19:23,
23636,we***ei,温,女士,500.00,2015-04-23,19:23,
23636,ym***27,姚,女士,100.00,2015-04-23,19:23,
23636,qq***02,徐,先生,100.00,2015-04-23,19:23,
23636,ch***01,陈,女士,100.00,2015-04-23,19:23,
23636,19***66,李,女士,5000.00,2015-04-23,19:23,
23636,li***06,刘,女士,100.00,2015-04-23,19:23,
23636,li***08,王,女士,100.00,2015-04-23,19:24,
23636,19***66,李,女士,5000.00,2015-04-23,19:24,
23636,Li***87,殷,女士,100.00,2015-04-23,19:24,
23636,g***,甘,女士,100.00,2015-04-23,19:24,
23636,zl***24,朱,先生,2100.64,2015-04-23,19:24,
23636,19***66,李,女士,5000.00,2015-04-23,19:24,
23636,hu***an,黄,女士,100.00,2015-04-23,19:24,
23636,ci***67,刘,女士,103.15,2015-04-23,19:24,
23636,19***66,李,女士,5000.00,2015-04-23,19:24,
23636,13***20,张,先生,104.37,2015-04-23,19:24,
23636,El***89,于,女士,100.00,2015-04-23,19:24,
23636,li***ie,钟,女士,100.00,2015-04-23,19:24,
23636,ls***16,金,女士,1400.00,2015-04-23,19:24,
23636,ge***ng,耿,先生,100.00,2015-04-23,19:24,
23636,l5***21,乔,女士,100.00,2015-04-23,19:24,
23636,19***66,李,女士,5000.00,2015-04-23,19:24,
23636,ti***23,田,女士,100.00,2015-04-23,19:24,
23636,zh***ng,郑,先生,100.00,2015-04-23,19:24,
23636,yi***er,李,女士,111.58,2015-04-23,19:24,
23636,xl***25,徐,女士,100.00,2015-04-23,19:24,
23636,19***66,李,女士,5000.00,2015-04-23,19:24,
